"Stem","Role","Family","Maps","Luma","Std","StdC","R","G","B","Format","Size","Path"
"geo_rock002","rock","geothermal","3","31.7","28.9","11.5","30.3","33.1","28.5","DXT5","512x512","/env/geothermal/layers/geo_rock002_albedo.dds"
"lav_rock05","rock","lava","1","32.5","11.8","9.1","34.5","30.6","36.9","DXT1","512x512","/env/lava/layers/lav_rock05_albedo.dds"
"rb_rock06","rock","red barrens","17","32.8","12","7.2","58.3","23.6","13","DXT5","512x512","/env/red barrens/layers/rb_rock06_albedo.dds"
"sw_rocky_01_albedo44","rock","MAP-LOCAL","1","33.2","14.4","6.3","8.1","44.4","41.8","DXT5","512x512","/maps/mystic_land.v0008/env/layers/sw_rocky_01_albedo44.dds"
"sw_rocky_01_albedo44","rock","MAP-LOCAL","1","33.2","14.4","6.3","8.1","44.4","41.8","DXT5","512x512","/maps/mystic_land.v0011/env/layers/sw_rocky_01_albedo44.dds"
"lav_macrotexture000","rock","lava","4","34.2","3.5","1.4","36.9","32.1","38","DXT5","256x256","/env/lava/layers/lav_macrotexture000_albedo.dds"
"rb_rock07","rock","red barrens","12","34.4","19","12.4","59.5","25.3","15.9","DXT1","512x512","/env/red barrens/layers/rb_rock07_albedo.dds"
"rb_rock09","rock","red barrens","4","34.5","18.8","12.3","56.7","26.6","17.5","DXT1","512x512","/env/red barrens/layers/rb_rock09_albedo.dds"
"evrock002","rock","evergreen2","8","35.6","22.7","10.6","30.5","38.7","33.2","DXT1","512x512","/env/evergreen2/layers/evrock002_albedo.dds"
"lav_macrotexture000b","rock","lava","4","35.6","3.7","1.6","36.4","34.4","39.6","DXT3","256x256","/env/lava/layers/lav_macrotexture000b_albedo.dds"
"evrock002b","rock","evergreen2","2","35.6","22.7","10.6","30.5","38.7","33.2","DXT3","512x512","/env/evergreen2/layers/evrock002b_albedo.dds"
"trrock002","rock","tropical","4","36.6","18.8","11.2","29.5","40.8","33.7","DXT1","512x512","/env/tropical/layers/trrock002_albedo.dds"
"tund_rock","rock","tundra","7","37.5","9","3.6","36.3","37.7","40.2","DXT1","512x512","/env/tundra/layers/tund_rock_albedo.dds"
"trrock006","rock","tropical","17","38.5","18.9","14.3","40.7","39","30.4","DXT5","512x512","/env/tropical/layers/trrock006_albedo.dds"
"macrotexture001","rock","red barrens","16","39.8","3.3","1.4","38.6","37.4","55.4","DXT5","256x256","/env/red barrens/layers/macrotexture001_albedo.dds"
"sw_rocky_03","rock","swamp","6","39.8","27.6","13.7","36.1","43.7","29.7","DXT1","512x512","/env/swamp/layers/sw_rocky_03_albedo.dds"
"trrock007","rock","tropical","7","41.3","19.6","14.9","40.1","42.8","36.5","DXT1","512x512","/env/tropical/layers/trrock007_albedo.dds"
"rockmed","rock","evergreen","15","44.2","23.8","12.3","43.5","45.2","40.9","DXT1","512x512","/env/evergreen/layers/rockmed_albedo.dds"
"mentor7","rock","MAP-LOCAL","1","44.3","26.4","14.5","44.4","45.5","37.9","DXT3","512x512","/maps/mentor.v0007/env/layers/mentor7.dds"
"wetrock002","rock","common","2","44.6","11.6","6.3","45.6","45.2","39.2","DXT1","512x512","/env/common/layers/wetrock002_albedo.dds"
"macrotexture000_albedo_blue tint","rock","MAP-LOCAL","1","45.6","6.4","2.6","38.2","47","57.4","DXT5","256x256","/maps/bluelands.v0002/env/layers/macrotexture000_albedo_blue tint.dds"
"evrock006b","rock","evergreen2","6","45.8","19.2","13","44.5","47.4","40.7","DXT3","512x512","/env/evergreen2/layers/evrock006b_albedo.dds"
"macrotexture000","rock","lava","5","45.8","6.9","2.8","45.8","45.8","45.8","DXT5","256x256","/env/lava/layers/macrotexture000_albedo.dds"
"geo_ashley_01","rock","geothermal","8","46.1","24.8","11.4","35.5","48.5","61.5","DXT1","512x512","/env/geothermal/layers/geo_ashley_01_albedo.dds"
"rb_rock08","rock","red barrens","7","47.1","11.5","6.8","77.2","36.6","22","DXT1","512x512","/env/red barrens/layers/rb_rock08_albedo.dds"
"macrotexture002b","rock","lava","1","47.9","4.7","2","47.3","47.1","54.1","DXT1","256x256","/env/lava/layers/macrotexture002b_albedo.dds"
"trrock003","rock","tropical","1","48.4","21.2","12.5","43.3","50.6","50","DXT1","512x512","/env/tropical/layers/trrock003_albedo.dds"
"stone_wall_006_color","rock","MAP-LOCAL","1","48.7","10.1","4.8","52.1","47.5","45.6","uncompressed","1024x1024","/maps/rusting_iron_roundel.v0003/env/layers/stone_wall_006_color.dds"
"rockmed","rock","MAP-LOCAL","1","50.3","24.1","12.5","52.6","49.4","48.7","DXT5","512x512","/maps/rusting_iron_roundel.v0003/env/layers/rockmed_albedo.dds"
"evrock003","rock","evergreen2","4","51.8","11.1","6.9","46.7","56.6","40.7","DXT1","512x512","/env/evergreen2/layers/evrock003_albedo.dds"
"rb_rock04","rock","red barrens","1","53.6","14.9","12.7","84","42","33.5","DXT1","1024x1024","/env/red barrens/layers/rb_rock04_albedo.dds"
"sw_rocky_01","rock","swamp","1","53.8","36.7","18.3","37.2","64.6","41.9","DXT1","512x512","/env/swamp/layers/sw_rocky_01_albedo.dds"
"evrock007c","rock","evergreen2","5","57.6","17.6","11.4","64.4","55.8","48.8","DXT3","512x512","/env/evergreen2/layers/evrock007c_albedo.dds"
"evrock006_lighter_albedo_blue tint","rock","MAP-LOCAL","1","59.7","18.6","12.4","49.5","57.9","96.2","DXT5","512x512","/maps/bluelands.v0002/env/layers/evrock006_lighter_albedo_blue tint.dds"
"fang_rockage","rock","MAP-LOCAL","1","60.8","3.8","2.3","54.5","61.1","75.7","DXT5","512x512","/maps/adaptive_fangtooth_islands.v0004/env/layers/fang_rockage.dds"
"evrock004","rock","evergreen2","9","61.3","25.1","17.8","61.1","59.3","71.9","DXT1","512x512","/env/evergreen2/layers/evrock004_albedo.dds"
"evrock006c","rock","evergreen2","12","62.1","22.7","15.3","69.5","60.2","52.8","DXT3","512x512","/env/evergreen2/layers/evrock006c_albedo.dds"
"evrock006","rock","evergreen2","32","62.3","23.1","15.3","63","62.2","60.6","uncompressed","512x512","/env/evergreen2/layers/evrock006_albedo.dds"
"tund_rock02","rock","tundra","1","63","32.4","12.8","64.4","62.7","61.1","uncompressed","512x512","/env/tundra/layers/tund_rock02_albedo.dds"
"rb_rock_albedo234","rock","MAP-LOCAL","1","63.5","14","7.3","25.7","78.1","88","DXT5","512x512","/maps/mystic_land.v0008/env/layers/rb_rock_albedo234.dds"
"rb_rock_albedo234","rock","MAP-LOCAL","1","63.5","14","7.3","25.7","78.1","88","DXT5","512x512","/maps/mystic_land.v0011/env/layers/rb_rock_albedo234.dds"
"sak_grayrock1","rock","MAP-LOCAL","1","63.7","37","17.7","64.9","63.7","59.9","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_grayrock1.dds"
"evrock007","rock","evergreen2","13","64","25.7","16.5","64.5","64","62.8","DXT5","512x512","/env/evergreen2/layers/evrock007_albedo.dds"
"evrock005","rock","evergreen2","1","64.4","33.7","21.7","64.2","63","72","DXT1","512x512","/env/evergreen2/layers/evrock005_albedo.dds"
"des_rock06","rock","desert","10","66.2","20.6","11.1","75.6","64.9","48","DXT1","512x512","/env/desert/layers/des_rock06_albedo.dds"
"rocklight","rock","evergreen","10","67.1","29.3","11.7","75.5","65.7","51.9","DXT1","512x512","/env/evergreen/layers/rocklight_albedo.dds"
"rock001","rock","paradise","3","67.1","29.3","11.7","75.5","65.7","51.9","DXT1","512x512","/env/paradise/layers/rock001_albedo.dds"
"rb_rock02","rock","red barrens","3","68.5","18.5","15.9","106.9","55.2","36.5","uncompressed","1024x1024","/env/red barrens/layers/rb_rock02_albedo.dds"
"rockdust3c","rock","MAP-LOCAL","1","68.6","0","0","63","72","66","DXT3","128x128","/maps/adaptive_dust_survival.v0003/env/layers/rockdust3c.dds"
"des_rock05","rock","desert","22","70.7","19.9","11.9","80.2","69.5","52.4","DXT1","512x512","/env/desert/layers/des_rock05_albedo.dds"
"evrock006_lighter_orange_tint","rock","MAP-LOCAL","1","71.9","20.8","13.9","99.5","65.8","30.9","DXT5","512x512","/maps/forbidden_isles.v0004/env/layers/evrock006_lighter_orange_tint_albedo.dds"
"evrock006_lighter_orange_tint","rock","MAP-LOCAL","1","71.9","20.8","13.9","99.5","65.8","30.9","DXT5","512x512","/maps/tiger_isle.v0006/env/layers/evrock006_lighter_orange_tint_albedo.dds"
"rock_ore_001_color","rock","MAP-LOCAL","1","72.4","18.1","15.6","73.9","73.3","63.7","uncompressed","1024x1024","/maps/adaptive_crateria.v0011/env/layers/rock_ore_001_color.dds"
"evrock008","rock","evergreen2","28","74","20.5","10.7","74.5","74","72.9","DXT5","512x512","/env/evergreen2/layers/evrock008_albedo.dds"
"wetrock001","rock","common","2","75.3","28.5","15.5","77.1","76.2","66","DXT1","512x512","/env/common/layers/wetrock001_albedo.dds"
"rock_a","rock","MAP-LOCAL","1","75.4","10.5","8.2","76.3","76.4","68.2","DXT5","1024x1024","/maps/autumn.v0001/env/layers/rock_a_albedo.dds"
"rb_rock03","rock","red barrens","1","75.5","21","17.9","112.9","61.3","50.7","DXT1","1024x1024","/env/red barrens/layers/rb_rock03_albedo.dds"
"stone_wall10","rock","MAP-LOCAL","1","76.9","26.3","15","90.9","76.2","43.8","DXT1","512x512","/maps/amoor.v0003/env/layers/stone_wall10.dds"
"geo_rock001","rock","geothermal","10","79.7","27.8","20.8","73.2","80.2","93.9","DXT5","512x512","/env/geothermal/layers/geo_rock001_albedo.dds"
"red_granite","rock","MAP-LOCAL","1","80.4","19.2","11.2","117.7","69.3","39.5","DXT5","512x512","/maps/forbidden_isles.v0004/env/layers/red_granite.dds"
"ev_reef_coral","rock","evergreen2","2","80.9","15.5","11.2","75.9","85.6","70.1","DXT3","512x512","/env/evergreen2/layers/ev_reef_coral_albedo.dds"
"des_rock","rock","desert","6","83","15.5","9.7","109.9","75.2","52.8","DXT1","512x512","/env/desert/layers/des_rock_albedo.dds"
"sak_rock1","rock","MAP-LOCAL","1","83.3","17.7","13.1","89.6","79.4","86.8","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_rock1.dds"
"deep","rock","common","1","84","74.1","68.3","73.8","81","126.2","DXT1","512x512","/env/common/layers/deep_albedo.dds"
"des_rock01","rock","desert","33","87.8","22.3","13.1","99.8","86.3","64","DXT1","512x512","/env/desert/layers/des_rock01_albedo.dds"
"darkerrock","rock","MAP-LOCAL","1","94.8","0","0","139","79","60","DXT5","128x128","/maps/adaptive_dust_survival.v0003/env/layers/darkerrock.dds"
"boulderfield","rock","MAP-LOCAL","1","98.4","13.7","10.9","102.9","98.2","87.9","DXT5","1024x1024","/maps/adaptive_alpine_valley.v0003/env/layers/boulderfield.dds"
"des_rock03","rock","desert","5","100.7","25.3","21.6","115.1","97.6","78.8","DXT1","1024x1024","/env/desert/layers/des_rock03_albedo.dds"
"tund_rock03","rock","tundra","10","106.8","35","13.9","102.2","107.8","113.2","DXT5","512x512","/env/tundra/layers/tund_rock03_albedo.dds"
"masonry_3_x","rock","MAP-LOCAL","1","110.2","28.3","14.6","123.4","109.3","80.1","DXT1","512x512","/maps/amoor.v0003/env/layers/masonry_3_x.dds"
"des_rock02","rock","desert","8","111.9","10.2","6.2","147.9","103.3","62.1","DXT1","512x512","/env/desert/layers/des_rock02_albedo.dds"
"des_rock04","rock","desert","2","114.1","30.2","25.8","131.4","110.4","88.3","DXT1","1024x1024","/env/desert/layers/des_rock04_albedo.dds"
"tr_reef_coral2","rock","tropical","5","117.7","20.1","13","97","129.6","110.7","DXT3","512x512","/env/tropical/layers/tr_reef_coral2_albedo.dds"
"tr_reef_coral","rock","tropical","4","117.7","20.1","13","97","129.6","110.7","DXT1","512x512","/env/tropical/layers/tr_reef_coral_albedo.dds"
"tr_coral","rock","tropical","4","122.8","19.1","15.1","61.7","148.3","151.3","DXT1","512x512","/env/tropical/layers/tr_coral_albedo.dds"
"cardboard_darker","rock","MAP-LOCAL","1","125.6","4.7","2.1","141.1","121.4","107","DXT5","512x512","/maps/forbidden_isles.v0004/env/layers/cardboard_darker.dds"
"rockcolour","rock","MAP-LOCAL","1","126.5","0","0","150","118","109","DXT1","128x128","/maps/adaptive_dust_survival.v0003/env/layers/rockcolour.dds"
"rock-grey","rock","MAP-LOCAL","1","128.8","26","20.8","134.5","128.1","117.6","DXT5","1024x1024","/maps/adaptive_archsimkats_valley.v0003/env/layers/rock-grey.dds"
"rock-grey","rock","MAP-LOCAL","1","128.8","26","20.8","134.5","128.1","117.6","DXT5","1024x1024","/maps/archsimkats_valley.v0004/env/layers/rock-grey.dds"
"rb_sandwet","sand","red barrens","2","31.3","3.7","2.1","61.4","19.8","11.3","DXT1","512x512","/env/red barrens/layers/rb_sandwet_albedo.dds"
"sandwet_albedo_darker","sand","MAP-LOCAL","1","43.6","9.8","3.8","49.5","42.9","32.2","DXT1","256x256","/maps/lost_wisdom.v0002/env/layers/sandwet_albedo_darker.dds"
"sandlight002_blue_tint","sand","MAP-LOCAL","1","59.6","9.5","3.7","44.1","60.5","95.9","DXT5","256x256","/maps/bluelands.v0002/env/layers/sandlight002_blue_tint_albedo.dds"
"rb_sand","sand","red barrens","24","62.3","11.1","5.8","102.6","48.3","28.9","DXT1","512x512","/env/red barrens/layers/rb_sand_albedo.dds"
"fang_sand_darker","sand","MAP-LOCAL","1","64.9","2.5","2.3","61.3","65.5","71.8","DXT5","512x512","/maps/adaptive_fangtooth_islands.v0004/env/layers/fang_sand_darker.dds"
"sandwet","sand","evergreen","11","65","13.4","5.3","70.8","64.2","53.8","uncompressed","512x512","/env/evergreen/layers/sandwet_albedo.dds"
"cracked_cement_sand2_red_blend","sand","MAP-LOCAL","1","68","8.7","4.5","94.6","60.7","36.4","DXT1","1024x1024","/maps/forbidden_isles.v0004/env/layers/cracked_cement_sand2_red_blend.dds"
"des_sanddark02","sand","desert","37","84.9","15.3","5.6","104.5","80","58.2","DXT1","512x512","/env/desert/layers/des_sanddark02_albedo.dds"
"fang_sand_dark","sand","MAP-LOCAL","1","88.8","3.2","2.9","80.7","90","103.4","DXT5","512x512","/maps/adaptive_fangtooth_islands.v0004/env/layers/fang_sand_dark.dds"
"sanddust3b","sand","MAP-LOCAL","1","94.1","0","0","104","92","79","DXT3","128x128","/maps/adaptive_dust_survival.v0003/env/layers/sanddust3b.dds"
"ev_reef_sand","sand","evergreen2","8","94.6","13.4","6.8","102.1","95.5","70.3","DXT3","512x512","/env/evergreen2/layers/ev_reef_sand_albedo.dds"
"sandlight","sand","evergreen","8","103.1","18","7.1","106.3","103.7","91.5","DXT1","512x512","/env/evergreen/layers/sandlight_albedo.dds"
"des_sandwet","sand","desert","9","103.5","8.5","3.4","105.1","103.8","98.2","DXT1","512x512","/env/desert/layers/des_sandwet_albedo.dds"
"sand000","sand","paradise","16","104.6","18.9","6.7","122.8","101.3","73.6","uncompressed","512x512","/env/paradise/layers/sand000_albedo.dds"
"sandmed","sand","paradise","10","108.5","13.4","7","120.4","106.9","85.2","uncompressed","512x512","/env/paradise/layers/sandmed_albedo.dds"
"wetsand002","sand","tropical","1","110.4","7.7","2.6","101.2","114.6","112.3","DXT1","512x512","/env/tropical/layers/wetsand002_albedo.dds"
"trop_sand","sand","tropical","15","112.4","13.8","5.4","116.5","113.4","96.7","DXT1","512x512","/env/tropical/layers/trop_sand_albedo.dds"
"des_sandmed02","sand","desert","35","116.3","8.6","4.3","129.2","114.6","90.8","DXT1","512x512","/env/desert/layers/des_sandmed02_albedo.dds"
"des_sanddark","sand","desert","19","117.7","17.3","6.2","143.6","112.4","76.5","DXT1","512x512","/env/desert/layers/des_sanddark_albedo.dds"
"sandlight002_orange_tint","sand","MAP-LOCAL","1","119.2","7.2","2.8","161.6","111.3","48.2","DXT5","256x256","/maps/tiger_isle.v0006/env/layers/sandlight002_orange_tint_albedo.dds"
"wetsand002b","sand","tropical","2","123.2","6.2","2.1","115.2","126.6","127","DXT3","512x512","/env/tropical/layers/wetsand002b_albedo.dds"
"sandrock","sand","evergreen","1","127.1","14","5.5","132.7","126.4","115.7","DXT1","256x256","/env/evergreen/layers/sandrock_albedo.dds"
"sandlight002","sand","evergreen","5","127.2","14.5","5.6","132.9","126.5","115.7","uncompressed","256x256","/env/evergreen/layers/sandlight002_albedo.dds"
"drysand002","sand","tropical","16","133.4","12.1","4.5","139","133.1","119.5","DXT1","512x512","/env/tropical/layers/drysand002_albedo.dds"
"des_sandmed","sand","desert","19","138.4","7.8","3.9","156.9","136.2","101.2","DXT1","512x512","/env/desert/layers/des_sandmed_albedo.dds"
"des_sandmed01","sand","desert","18","138.4","7.8","3.9","156.9","136.2","101.2","DXT1","512x512","/env/desert/layers/des_sandmed01_albedo.dds"
"des_sandlight","sand","desert","4","140.1","14.3","5.7","144.2","140.8","126","DXT1","512x512","/env/desert/layers/des_sandlight_albedo.dds"
"des_sandlight_normal","sand","desert","1","141.7","6.3","5.1","127.5","127.5","252.6","DXT1","512x512","/env/desert/layers/des_sandlight_normal.dds"
"tund_sandlight_normal","sand","tundra","1","141.8","6.3","5","127.5","127.5","252.6","DXT1","512x512","/env/tundra/layers/tund_sandlight_normal.dds"
"drysand001","sand","tropical","17","157","5.3","1.8","166.7","155.3","140.3","DXT1","512x512","/env/tropical/layers/drysand001_albedo.dds"
"tund_sandlight2","sand","tundra","11","172.6","9.2","4.8","166.5","174.1","181.6","DXT3","512x512","/env/tundra/layers/tund_sandlight2_albedo.dds"
"sand","sand","MAP-LOCAL","1","189.5","12.3","8.5","213.2","185.6","147.6","DXT5","1024x1024","/maps/autumn.v0001/env/layers/sand_albedo.dds"
"sandlight002","sand","paradise","2","196.7","24.2","9.6","200.8","197.7","180.5","DXT1","512x512","/env/paradise/layers/sandlight002.dds"
"trop_sand","sand","tropical","2","196.7","24.2","9.6","200.8","197.7","180.5","DXT1","512x512","/env/tropical/layers/trop_sand.dds"
"trop_sand01","sand","tropical","1","196.7","24.2","9.6","200.8","197.7","180.5","DXT1","512x512","/env/tropical/layers/trop_sand01_albedo.dds"
"sand001","sand","paradise","1","196.7","24.2","9.6","200.8","197.7","180.5","DXT1","512x512","/env/paradise/layers/sand001_albedo.dds"
"tund_melt002","snow","tundra","9","51","9.9","5.8","55.8","49.8","44.3","DXT3","512x512","/env/tundra/layers/tund_melt002_albedo.dds"
"tund_melt003","snow","tundra","1","67.8","12.5","5.7","71.1","67","63","DXT3","512x512","/env/tundra/layers/tund_melt003_albedo.dds"
"texturescom_ice_cracked_1k_height","snow","MAP-LOCAL","1","73","16.4","15.9","56.9","77.2","93.4","DXT5","1024x1024","/maps/frozen_firefight.v0003/env/layers/texturescom_ice_cracked_1k_height.dds"
"tund_melt001","snow","tundra","4","83.3","40.5","23.1","77.5","84.3","93","DXT3","512x512","/env/tundra/layers/tund_melt001_albedo.dds"
"eg_snow","snow","evergreen2","1","99.3","2.4","1.7","96.1","99.5","106.8","DXT1","512x512","/env/evergreen2/layers/eg_snow_albedo.dds"
"tund_ice004a","snow","tundra","11","111","57.9","26.6","108.1","111.6","115.3","DXT1","512x512","/env/tundra/layers/tund_ice004a_albedo.dds"
"tund_ice004","snow","tundra","5","111.1","57.7","26.5","108.1","111.7","115.3","DXT1","512x512","/env/tundra/layers/tund_ice004_albedo.dds"
"tund_ice005","snow","tundra","3","121.8","60.1","26.9","114.7","122.9","135","DXT1","512x512","/env/tundra/layers/tund_ice005_albedo.dds"
"tund_ice002","snow","tundra","9","124.9","16.3","9.7","107.4","126.4","163.5","DXT5","512x512","/env/tundra/layers/tund_ice002_albedo.dds"
"snow_field_aerial_col_1k","snow","MAP-LOCAL","1","135.9","32.1","22.9","134.6","134.2","147.5","DXT5","1024x1024","/maps/frozen_firefight.v0003/env/layers/snow_field_aerial_col_1k.dds"
"tund_snow02_normal","snow","tundra","1","139.1","31.6","9.8","126.3","128.3","228.4","DXT1","512x512","/env/tundra/layers/tund_snow02_normal.dds"
"eg_snow_normal","snow","evergreen2","1","141.8","8.3","2.4","127.3","127.3","254.3","DXT1","512x512","/env/evergreen2/layers/eg_snow_normal.dds"
"tund_ice003b","snow","tundra","4","145.6","15.5","11.1","138.3","147.8","153.9","DXT3","512x512","/env/tundra/layers/tund_ice003b_albedo.dds"
"tund_ice003","snow","tundra","3","145.6","15.5","11.1","138.3","147.8","153.9","DXT1","512x512","/env/tundra/layers/tund_ice003_albedo.dds"
"tund_ice006","snow","tundra","7","149.2","21.1","7.6","134.4","153.5","165.7","DXT1","512x512","/env/tundra/layers/tund_ice006_albedo.dds"
"tund_ice001","snow","tundra","16","155.6","7.2","4.2","143.7","159.6","165.9","DXT5","512x512","/env/tundra/layers/tund_ice001_albedo.dds"
"macroice","snow","tundra","18","155.8","4.9","3.5","143.8","159.8","166.4","DXT5","256x256","/env/tundra/layers/macroice_albedo.dds"
"tund_icerock","snow","tundra","4","157","26.8","18.2","147.7","160.2","165.7","DXT3","512x512","/env/tundra/layers/tund_icerock_albedo.dds"
"tund_snow","snow","tundra","24","173.2","2.9","2","166.8","174.7","182.5","DXT3","512x512","/env/tundra/layers/tund_snow_albedo.dds"
"ice001","snow","paradise","3","174.8","13.6","8.3","160.5","176.3","204.9","DXT1","512x512","/env/paradise/layers/ice001_albedo.dds"
"snow001","snow","evergreen","11","220","5.2","3.6","212.7","220.3","237.7","DXT1","512x512","/env/evergreen/layers/snow001_albedo.dds"
"eg_snow","snow","evergreen2","1","220","5.2","3.6","212.7","220.4","237.7","DXT1","512x512","/env/evergreen2/layers/eg_snow.dds"
"snow001","snow","paradise","2","222.2","5.1","3.5","215","222.5","239.2","DXT1","512x512","/env/paradise/layers/snow001_albedo.dds"
"light","snow","MAP-LOCAL","1","255","0","0","255","255","255","DXT1","128x128","/maps/adaptive_dust_survival.v0003/env/layers/light.dds"
